ticker,model,MAE,RMSE,MAPE,sMAPE,MASE,Mean_Error,Directional_Accuracy
AAPL,Random Walk,2.320307333258133,3.2897347194389828,1.2714225086615165,1.2715873006906067,1.0,-0.11156806462927689,0.0031645569620253164
AAPL,Linear Regression,3.502330270052278,4.532048894300998,1.8311131135368222,1.850062054662643,1.5094251609912253,-2.385780443493618,0.47151898734177217
AAPL,LSTM,3.8275920884007046,5.862481698936854,1.9498622233534644,1.9740672566870052,1.6496056507419945,-1.8526592556402084,0.5073839662447257
AAPL,LSTM + Sentiment,12.351201790102628,15.613632333529859,5.997679577328589,6.250615237999757,5.32308871892384,-11.411645025856878,0.46835443037974683
AMD,Random Walk,3.0511565183364757,4.489690851854425,2.461882905715944,2.463960291045004,1.0,-0.10554154613667348,0.002103049421661409
AMD,LSTM,3.1007837733641654,4.5676387552118145,2.5000070434182153,2.4944669521500376,1.0162650636666608,0.20540957473978744,0.5131440588853838
AMD,Linear Regression,3.5652334668237384,5.123912233784247,2.8239375186459035,2.8531617362780155,1.168485931612431,-1.3999312610513466,0.4879074658254469
AMD,LSTM + Sentiment,8.391938507361205,10.814346764669482,6.687341902287061,6.948725182766323,2.750412329530896,-4.775415560929743,0.47634069400630913
AMZN,Random Walk,2.592736739146558,3.603298162668686,1.6860200424889373,1.685105054508981,1.0,-0.07563237701287262,0.0031645569620253164
AMZN,Linear Regression,2.6075758367789272,3.6436853991278593,1.6938193305318001,1.6918368471934682,1.0057233337300777,-0.07281305718015278,0.5210970464135021
AMZN,LSTM,2.7390060180333435,3.8046810241426745,1.7899500247227262,1.7791496373145845,1.056415013787683,0.5057590185702137,0.5116033755274262
AMZN,LSTM + Sentiment,4.198389540599874,5.899795344110052,2.4920331802607905,2.513598383832498,1.6192887913417089,-1.9789152643489787,0.5042194092827004
JNJ,LSTM,1.1889717264815827,1.6723324906442352,0.778025080258376,0.7779035453967462,0.9954383365978188,-0.001101967565799382,0.5359179019384265
JNJ,Random Walk,1.1944202697127548,1.6694614289244079,0.7805470277454959,0.780752498566777,1.0,-0.07374962488085263,0.0011402508551881414
JNJ,Linear Regression,1.2139810448408344,1.6818505020728034,0.7926224739903261,0.7926035385209499,1.016376794352949,-0.02125732256620698,0.4960091220068415
JNJ,LSTM + Sentiment,1.2252122911308825,1.6932377295551415,0.8009701864040806,0.8013575638985727,1.0257798885358274,-0.10181154854145126,0.4982896237172178
KO,Random Walk,0.4433764783959637,0.6096503140635193,0.7437041910383455,0.7436158712491114,1.0,-0.017167371616028795,0.010964912280701754
KO,LSTM,0.44796675292872296,0.6165534656568019,0.7516720278572324,0.7502155620200688,1.0103529951551913,0.09178008872636453,0.5219298245614035
KO,LSTM + Sentiment,0.4524921123816107,0.6205191661947357,0.7570951246346014,0.7566359957800597,1.0205595795668396,0.012021625493920262,0.5175438596491229
KO,Linear Regression,0.4622026972214686,0.6284106964259155,0.7738175905092588,0.7742270322030637,1.042461022951903,-0.05557096496256699,0.4583333333333333
MSFT,Random Walk,4.124203762765658,5.592112487940956,1.2211100096899277,1.2215872704781763,1.0,-0.1863206443140066,0.0
MSFT,LSTM + Sentiment,4.603072000907551,6.642563367486147,1.3518986297856959,1.3526700532484477,1.1161116825665198,0.5323913474126617,0.5233050847457628
MSFT,LSTM,4.777641852644037,6.567609621784066,1.3724506864089,1.3695227094245188,1.1584398171054935,1.2113501970843181,0.5127118644067796
MSFT,Linear Regression,5.902155987734084,7.678918841240277,1.684644935561594,1.6758252039700432,1.431101935607601,1.515342231755241,0.5180084745762712
NFLX,Random Walk,0.9629936298825547,1.4857462570010818,1.835239415176678,1.8267745442067935,1.0,-0.0671837352523076,0.0010559662090813093
NFLX,LSTM + Sentiment,0.966748514806944,1.4977758754622434,1.8409781838474644,1.8300155050628781,1.0038991794004362,0.017900724180901457,0.5058078141499472
NFLX,LSTM,1.0066570319382941,1.5657498251104915,1.8773336708645227,1.865202191858558,1.0453413197147157,0.09227812152868482,0.5131995776135164
NFLX,Linear Regression,1.0307625071346458,1.5700777377018245,1.904029390125516,1.8980524241764631,1.0703731313989648,-0.23544404406305622,0.5015839493136219
NVDA,Random Walk,1.8009577553073135,2.8836011820611005,2.48823136653446,2.4923982743942474,1.0,-0.1476385741468673,0.0010706638115631692
NVDA,LSTM + Sentiment,2.3466960219553648,3.932021790003713,3.0301761453617826,3.0529509375173354,1.3030266895710316,-0.705603479503722,0.48394004282655245
NVDA,LSTM,2.428362600124969,4.097024077858029,2.9709541349298734,3.0058897033222056,1.3483728826890755,-1.070521420417491,0.5203426124197003
NVDA,Linear Regression,5.484024517987001,9.312499340202132,5.605499888838084,5.656543402018461,3.0450600530889256,-0.5929705374871442,0.5053533190578159
WMT,LSTM,0.6072208456039049,0.9630751936848301,0.9298009596405011,0.9279189223634873,0.9925442523683456,0.04782595268306367,0.5536663124335813
WMT,Random Walk,0.6117821388366245,0.9668374883931332,0.9357860879920195,0.935621175157822,1.0,-0.07193281394642276,0.0021253985122210413
WMT,LSTM + Sentiment,0.6217733018777006,0.9749163655201788,0.9527414481213868,0.9534666784817356,1.0163312434391687,-0.13969854432180373,0.4718384697130712
WMT,Linear Regression,0.6382178248790249,1.0132750542836033,0.9692581630147407,0.9695001853864075,1.0432109477610298,-0.06253644961371031,0.5026567481402763
