model,avg_MAE,avg_RMSE,avg_MAPE,avg_sMAPE,avg_MASE,avg_Mean_Error,avg_Directional_Accuracy
Random Walk,1.9002149584046708,2.732236988038477,1.4915492838937028,1.4912669200330577,1.0,-0.0951927502150343,0.002754372779385273
LSTM,2.236022521057747,3.301905128114422,1.657783983494868,1.6604818311708014,1.1414194813141088,-0.08554218781011852,0.5210999437812158
Linear Regression,2.711831572605778,3.909408744348851,2.0087491560837827,2.017979158267724,1.370246479055012,-0.3678846498513957,0.4958298273343201
LSTM + Sentiment,3.9063915645693066,5.298756526281284,2.656768264225717,2.717781726509734,1.7976109003195855,-2.0611973029350104,0.494404380941159
