ticker,model,forecast_type,MAE,RMSE,MAPE,sMAPE,MASE,Mean_Error,Directional_Accuracy
AAPL,Basic Monthly GBM,GBM simulated price-path forecast,7.673447301993701,8.934931273230745,,,,,
AAPL,Periodic GBM,GBM simulated price-path forecast,8.01003830539692,9.317019627363395,,,,,
AAPL,GBM + Sentiment,GBM simulated price-path forecast,8.435221988648905,10.005443878583005,,,,,
AAPL,Periodic GBM + Sentiment,GBM simulated price-path forecast,10.436195441741383,12.046916940049572,,,,,
AMD,GBM + Sentiment,GBM simulated price-path forecast,10.554974460746024,12.475637213051087,,,,,
AMD,Basic Monthly GBM,GBM simulated price-path forecast,10.695460276826779,12.600695000219105,,,,,
AMD,Periodic GBM,GBM simulated price-path forecast,11.034751483877058,13.00245641227964,,,,,
AMD,Periodic GBM + Sentiment,GBM simulated price-path forecast,11.748514260856064,13.915567718359751,,,,,
AMZN,Basic Monthly GBM,GBM simulated price-path forecast,7.0772412585264926,8.421708636710553,,,,,
AMZN,Periodic GBM,GBM simulated price-path forecast,7.089826373965742,8.453462389703287,,,,,
AMZN,GBM + Sentiment,GBM simulated price-path forecast,7.316876239394318,8.707140748658896,,,,,
AMZN,Periodic GBM + Sentiment,GBM simulated price-path forecast,8.148638007454364,9.683204690123636,,,,,
JNJ,Basic Monthly GBM,GBM simulated price-path forecast,3.624934652977917,4.326295797604812,,,,,
JNJ,Periodic GBM,GBM simulated price-path forecast,3.6542888933000888,4.360043371657927,,,,,
JNJ,GBM + Sentiment,GBM simulated price-path forecast,3.693858831168946,4.430566078494887,,,,,
JNJ,Periodic GBM + Sentiment,GBM simulated price-path forecast,4.631641132867792,5.540258609573407,,,,,
KO,GBM + Sentiment,GBM simulated price-path forecast,1.2314875039127002,1.5010217594986857,,,,,
KO,Basic Monthly GBM,GBM simulated price-path forecast,1.2608883860055793,1.53085620653321,,,,,
KO,Periodic GBM,GBM simulated price-path forecast,1.3190077551769417,1.5913761088750265,,,,,
KO,Periodic GBM + Sentiment,GBM simulated price-path forecast,1.4051720485989678,1.683178542920163,,,,,
MSFT,Basic Monthly GBM,GBM simulated price-path forecast,11.02096006746165,13.194019647461529,,,,,
MSFT,GBM + Sentiment,GBM simulated price-path forecast,11.297348891023587,13.538104551398497,,,,,
MSFT,Periodic GBM,GBM simulated price-path forecast,11.49979926063606,13.70796201304308,,,,,
MSFT,Periodic GBM + Sentiment,GBM simulated price-path forecast,11.70968694731085,13.919334375853898,,,,,
NFLX,Periodic GBM,GBM simulated price-path forecast,3.0073302192395173,3.710331208737372,,,,,
NFLX,Basic Monthly GBM,GBM simulated price-path forecast,3.0744520096214747,3.753019323777244,,,,,
NFLX,GBM + Sentiment,GBM simulated price-path forecast,3.13714094662927,3.8622032300546536,,,,,
NFLX,Periodic GBM + Sentiment,GBM simulated price-path forecast,3.3198215767103463,4.081500249471817,,,,,
NVDA,GBM + Sentiment,GBM simulated price-path forecast,4.984208458450656,5.954626983018179,,,,,
NVDA,Periodic GBM,GBM simulated price-path forecast,5.1544655903159535,6.13002675979072,,,,,
NVDA,Periodic GBM + Sentiment,GBM simulated price-path forecast,5.15581215945451,6.225875752995672,,,,,
NVDA,Basic Monthly GBM,GBM simulated price-path forecast,5.272464685127332,6.199532451696718,,,,,
WMT,Basic Monthly GBM,GBM simulated price-path forecast,1.8450603346219878,2.2095302676142627,,,,,
WMT,Periodic GBM,GBM simulated price-path forecast,1.869696260981929,2.2636160970732515,,,,,
WMT,Periodic GBM + Sentiment,GBM simulated price-path forecast,1.9271572398455454,2.352124348508742,,,,,
WMT,GBM + Sentiment,GBM simulated price-path forecast,1.930332761883285,2.325473046086685,,,,,
AAPL,Random Walk,One-step-ahead next-day forecast,2.320307333258133,3.2897347194389828,1.2714225086615165,1.2715873006906067,1.0,-0.11156806462927689,0.0031645569620253164
AAPL,Linear Regression,One-step-ahead next-day forecast,3.502330270052278,4.532048894300998,1.8311131135368222,1.850062054662643,1.5094251609912253,-2.385780443493618,0.47151898734177217
AAPL,LSTM,One-step-ahead next-day forecast,3.8275920884007046,5.862481698936854,1.9498622233534644,1.9740672566870052,1.6496056507419945,-1.8526592556402084,0.5073839662447257
AAPL,LSTM + Sentiment,One-step-ahead next-day forecast,12.351201790102628,15.613632333529859,5.997679577328589,6.250615237999757,5.32308871892384,-11.411645025856878,0.46835443037974683
AMD,Random Walk,One-step-ahead next-day forecast,3.0511565183364757,4.489690851854425,2.461882905715944,2.463960291045004,1.0,-0.10554154613667348,0.002103049421661409
AMD,LSTM,One-step-ahead next-day forecast,3.1007837733641654,4.5676387552118145,2.5000070434182153,2.4944669521500376,1.0162650636666608,0.20540957473978744,0.5131440588853838
AMD,Linear Regression,One-step-ahead next-day forecast,3.5652334668237384,5.123912233784247,2.8239375186459035,2.8531617362780155,1.168485931612431,-1.3999312610513466,0.4879074658254469
AMD,LSTM + Sentiment,One-step-ahead next-day forecast,8.391938507361205,10.814346764669482,6.687341902287061,6.948725182766323,2.750412329530896,-4.775415560929743,0.47634069400630913
AMZN,Random Walk,One-step-ahead next-day forecast,2.592736739146558,3.603298162668686,1.6860200424889373,1.685105054508981,1.0,-0.07563237701287262,0.0031645569620253164
AMZN,Linear Regression,One-step-ahead next-day forecast,2.6075758367789272,3.6436853991278593,1.6938193305318001,1.6918368471934682,1.0057233337300777,-0.07281305718015278,0.5210970464135021
AMZN,LSTM,One-step-ahead next-day forecast,2.7390060180333435,3.8046810241426745,1.7899500247227262,1.7791496373145845,1.056415013787683,0.5057590185702137,0.5116033755274262
AMZN,LSTM + Sentiment,One-step-ahead next-day forecast,4.198389540599874,5.899795344110052,2.4920331802607905,2.513598383832498,1.6192887913417089,-1.9789152643489787,0.5042194092827004
JNJ,LSTM,One-step-ahead next-day forecast,1.1889717264815827,1.6723324906442352,0.778025080258376,0.7779035453967462,0.9954383365978188,-0.001101967565799382,0.5359179019384265
JNJ,Random Walk,One-step-ahead next-day forecast,1.1944202697127548,1.6694614289244079,0.7805470277454959,0.780752498566777,1.0,-0.07374962488085263,0.0011402508551881414
