ticker,year,month,mu,sigma,beta_sentiment,MAE,RMSE,MAPE,sMAPE,Mean_Error,MASE,Directional_Accuracy
WMT,2022,1,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.2231655798387484,2.773070751924471,5.0565380807297355,4.863121981049356,2.2231655798387484,,0.05
WMT,2022,2,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.3490454208983573,2.7146438158609927,5.490886026146861,5.296223364455958,2.3490454208983573,,0.05263157894736842
WMT,2022,3,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.0096348557198904,1.197084844188692,2.2041273744028507,2.2384740226522273,-0.9999626753659767,,0.043478260869565216
WMT,2022,4,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.8374092059436613,1.0396815813058682,1.68579889811733,1.7065788206574217,-0.7321295071263847,,0.05
WMT,2022,5,0.047908520836594054,0.20679911741648133,-0.1653588232054067,5.417252257134426,7.203448926840731,13.54123971982425,12.06327949105442,5.312234179737358,,0.047619047619047616
WMT,2022,6,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.094494971772265,2.351092799280719,5.4338130838518985,5.254468403302583,2.0411156902343826,,0.047619047619047616
WMT,2022,7,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.9781028925645459,1.1958774802583545,2.381402373333949,2.4180221167072182,-0.8435523015249963,,0.05
WMT,2022,8,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.1619720047963649,1.3637915039101132,2.761263087051701,2.7238868106090885,0.7353291498251234,,0.045454545454545456
WMT,2022,9,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.6604822196742628,2.0924637704648608,3.9366617483024133,3.8172653415467677,1.5918972470049697,,0.047619047619047616
WMT,2022,10,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.8664222879262323,1.005208922109136,2.0355392927877674,2.0140550953720253,0.4723742880528497,,0.047619047619047616
WMT,2022,11,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.9483918332977085,1.1311143822870082,2.007104465254052,2.0214436143053645,-0.448572775627146,,0.047619047619047616
WMT,2022,12,0.047908520836594054,0.20679911741648133,-0.1653588232054067,3.8469916723423685,4.33757568344451,8.331220852769516,7.910319417872228,3.8469916723423685,,0.047619047619047616
WMT,2023,1,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.8269629291666356,2.322760943334652,4.009359069064165,3.8840958312286102,1.7777164209307266,,0.05
WMT,2023,2,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.8801999319446139,2.1303114699802386,4.112354315878182,4.0064578248308464,1.8801999319446139,,0.05263157894736842
WMT,2023,3,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.9312855056903423,1.104144400942805,2.080115706333675,2.049978892267977,0.9214944404406343,,0.043478260869565216
WMT,2023,4,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.5528839602802085,0.651587078318108,1.1456380701719888,1.1366615242129174,0.5355919863795517,,0.05263157894736842
WMT,2023,5,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.7392408648050206,2.220220820508536,3.6334866597137334,3.528382494826888,1.7392408648050206,,0.045454545454545456
WMT,2023,6,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.854493995842166,1.0086229235803406,1.709993041095979,1.7304684387662874,-0.854493995842166,,0.047619047619047616
WMT,2023,7,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.0540820705592657,2.2173335979867796,4.0657036090089065,3.9715363370814294,2.0540820705592657,,0.05
WMT,2023,8,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.7284785797657322,0.9532189889066948,1.4231369149884796,1.4061666969900721,0.6615155391631002,,0.043478260869565216
WMT,2023,9,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.0905942551976462,1.5273090147421025,2.0777511607998638,2.0365825735532583,0.9937559110169797,,0.05
WMT,2023,10,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.157637646689533,1.2887426992903475,2.2379873124061813,2.2072257372215836,1.157637646689533,,0.045454545454545456
WMT,2023,11,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.2775043390805343,3.089674451654735,4.4903234371272545,4.311894849612501,2.1969888260358124,,0.047619047619047616
WMT,2023,12,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.9812250195332854,1.1149693243900871,1.9644519735252584,1.9398041622984024,0.9599363095863869,,0.05
WMT,2024,1,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.28101939700114204,0.406835534782842,0.5399273114980195,0.5371278317932545,0.21478302061834006,,0.047619047619047616
WMT,2024,2,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.5252197836551744,0.6619244206968878,0.9380038507543564,0.9347227143111471,0.17239539409228327,,0.05
WMT,2024,3,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.7737147315084159,0.8753623567212804,1.304290810930352,1.313131974103868,-0.5676513141998406,,0.05
WMT,2024,4,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.760035646053467,1.9755499552737288,3.0117178603927433,2.955670203715892,1.760035646053467,,0.045454545454545456
WMT,2024,5,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.579492857906928,3.202623032021379,4.091780489067049,4.223091859758416,-2.579492857906928,,0.045454545454545456
WMT,2024,6,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.47691862379331135,0.6057537723970925,0.7194613680545341,0.7230133254893518,-0.3311520393554685,,0.05263157894736842
WMT,2024,7,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.0914193487343153,1.26683382367348,1.5865789517236148,1.6003205700943612,-0.8462643399611335,,0.045454545454545456
WMT,2024,8,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.6257258956098286,2.77676369239915,3.6991786506231916,3.7083198157502544,-0.4364923070647703,,0.045454545454545456
WMT,2024,9,0.047908520836594054,0.20679911741648133,-0.1653588232054067,0.8089764266449961,0.966029540784354,1.0389826641268685,1.0354567547614868,0.31913337199890607,,0.05
WMT,2024,10,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.9456735905973912,2.1311140597105394,2.440819132569447,2.405554575289337,1.9456735905973912,,0.043478260869565216
WMT,2024,11,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.483314124941341,3.494320176732346,2.8245176080117425,2.9038968303865715,-2.483314124941341,,0.05
WMT,2024,12,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.9078042461638856,2.3699052599274935,2.09003160807321,2.0693594576460828,0.5093465319571818,,0.047619047619047616
WMT,2025,1,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.763363411550013,2.4658643008771417,1.861808989714241,1.8955111418451391,-1.7021575350591447,,0.05
WMT,2025,2,0.047908520836594054,0.20679911741648133,-0.1653588232054067,3.593824745293236,4.217259272089765,3.6902183825033497,3.6314575563501235,0.8418370117167416,,0.05263157894736842
WMT,2025,3,0.047908520836594054,0.20679911741648133,-0.1653588232054067,10.93938725943956,11.948359327013431,12.814757063281501,11.89985475291961,10.93938725943956,,0.047619047619047616
WMT,2025,4,0.047908520836594054,0.20679911741648133,-0.1653588232054067,2.413737454485557,3.224178486247652,2.742027924551556,2.7049540836601635,-0.03380268828793611,,0.047619047619047616
