ticker,avg_gbm_sent_monthly_mae,avg_gbm_sent_monthly_rmse,best_gbm_sent_monthly_mae,worst_gbm_sent_monthly_mae,avg_periodic_sent_mae,avg_periodic_sent_rmse,best_periodic_sent_mae,worst_periodic_sent_mae,avg_mu,avg_sigma,avg_beta_sentiment,mae_change,rmse_change,periodic_sentiment_improved_mae,periodic_sentiment_improved_rmse
AAPL,8.435221988648905,10.005443878583005,1.3922997090283615,25.287404971358487,10.436195441741383,12.046916940049572,1.68114582347971,37.3361306394675,0.13529489813039136,0.27420153704626093,0.09072278821856117,-2.0009734530924774,-2.041473061466567,False,False
AMD,10.554974460746024,12.475637213051087,1.8376301529401502,68.31344506047914,11.748514260856064,13.915567718359751,2.553318713280437,60.884030912093756,0.08271497131604337,0.5176826041419458,-0.13111255456275558,-1.19353980011004,-1.4399305053086646,False,False
AMZN,7.316876239394318,8.707140748658896,0.29086259381840307,18.831778353655164,8.148638007454364,9.683204690123636,0.1369549391686462,32.41795701019971,0.06566741835463609,0.3567659789192244,-0.03826152232729802,-0.831761768060046,-0.9760639414647407,False,False
JNJ,3.693858831168946,4.430566078494887,0.12354032183478125,9.232656645733362,4.631641132867792,5.540258609573407,0.059877820581618835,11.87041863381068,0.0436419970458209,0.16592027644321064,-0.17092122989621106,-0.9377823016988462,-1.1096925310785206,False,False
KO,1.2314875039127002,1.5010217594986857,0.3301536149918122,4.346846387616009,1.4051720485989678,1.683178542920163,0.3915467489787143,4.425327181566069,0.09588776706882864,0.15240120762586662,-0.035259754870262484,-0.1736845446862676,-0.18215678342147723,False,False
MSFT,11.297348891023587,13.538104551398497,1.487780012495051,28.58127948588258,11.70968694731085,13.919334375853898,1.68151782772037,30.294519618304243,0.13519427318075342,0.261706934584737,0.37548472039285735,-0.41233805628726294,-0.3812298244554011,False,False
NFLX,3.13714094662927,3.8622032300546536,0.1316916231039329,11.27550255483899,3.3198215767103463,4.081500249471817,0.0037754682207165047,11.15170132912023,0.15319213526724298,0.44165069376184557,-0.7312906965442498,-0.18268063008107616,-0.21929701941716306,False,False
NVDA,4.984208458450656,5.954626983018179,0.45649921243395397,25.45520889802662,5.15581215945451,6.225875752995672,0.5046012031504675,18.81916416809988,0.48084477235850037,0.5377779109472628,-0.028499752358902546,-0.17160370100385425,-0.27124876997749325,False,False
WMT,1.930332761883285,2.325473046086685,0.28101939700114204,10.93938725943956,1.9271572398455454,2.352124348508742,0.23440948851606436,10.61183480879693,0.19782075184751466,0.20581574537759237,-0.03587950846790406,0.003175522037739631,-0.026651302422057377,True,False
