ticker,year,month,window_size,mu,sigma,beta_sentiment,MAE,RMSE
WMT,2022,1,252,0.019516574012806598,0.16812304009647663,-0.16911342780878433,2.225386909862585,2.771048143968365
WMT,2022,2,252,0.01964739489937368,0.16847714071001907,-0.059666504043876585,1.5765123148021303,1.822627502458518
WMT,2022,3,252,0.04421891476709171,0.15748661100147313,0.058962607461223046,2.647200635470627,2.949574459989511
WMT,2022,4,252,0.10902355651484122,0.16066243242315623,-0.0738510016250902,0.9313538117727915,1.1438366130112476
WMT,2022,5,252,0.10484435362682334,0.16666915163895712,-0.040396370447666266,4.83885091418494,6.483289055537992
WMT,2022,6,252,-0.08130961846659981,0.2215254747110413,0.1827734223636129,0.770622363725632,0.9040576942602924
WMT,2022,7,252,-0.13314914531446181,0.22654834918135514,0.12161462879339986,2.2168897205836817,2.552174324882688
WMT,2022,8,252,-0.059155122778142916,0.24630751619942895,0.14433333900196466,1.7132695907127256,2.0085355937754783
WMT,2022,9,252,-0.10047463751737849,0.25606360871341877,0.046553222682925756,0.5371354031147045,0.6385848948584115
WMT,2022,10,252,-0.07180769792674957,0.2611694490895574,0.11530088235259539,1.831175381632613,2.505839225448692
WMT,2022,11,252,-0.03435124239580442,0.26515759550363593,-0.009062365523407534,1.7962266319069944,2.31172785499238
WMT,2022,12,252,0.0741344163813206,0.2736027052776258,0.04302948011444641,2.0163105441489972,2.2585501285368177
WMT,2023,1,252,0.0010254230873905368,0.27041490859561457,0.16594115469793289,1.5133950962935536,1.8012996336732727
WMT,2023,2,252,0.06492549602243174,0.27079317929908103,0.04630387356093677,0.6600042300161988,0.7837610730621271
WMT,2023,3,252,0.062447889290445605,0.26958595281298975,0.02486190326010638,0.7098670389916037,0.9761454134056055
WMT,2023,4,252,0.009216236825604754,0.2658548555060813,-0.0011381762126584372,0.6195649440656387,0.7255426457632236
WMT,2023,5,252,-0.020554645000416594,0.26147065013946735,-0.04427147215988106,0.7971155526047269,1.0702499527897231
WMT,2023,6,252,0.1611522220767854,0.21338276937510928,-0.11944499366756613,0.9400994494183441,1.078736533825601
WMT,2023,7,252,0.2582286111911708,0.20493932632229608,-0.09275489071382409,1.943803739501367,2.092442519892821
